uni_name,abbr
Massachusetts Institute of Technology,MIT
Stanford University,
Carnegie Mellon University,
"University of California, Berkeley",UCB
University of Cambridge,UC
Harvard University,
University of Oxford,
Princeton University,
ETH Zurich - Swiss Federal Institute of Technology,ETH
National University of Singapore,NUS
University of Toronto,
Imperial College London,
"University of California, Los Angeles",UCLA
The University of Melbourne,
Tsinghua University,
Peking University,
University of Washington,
The University of Tokyo,
The Hong Kong University of Science and Technology,HKUST
"Nanyang Technological University, Singapore",NTU
Cornell University,
The University of Edinburgh,
University of British Columbia,
Ecole Polytechnique FŽdŽrale de Lausanne,EPFL
The University of Hong Kong,HKU
University of Texas at Austin,
California Institute of Technology,Caltech
Georgia Institute of Technology,
Columbia University,
University of Illinois at Urbana-Champaign,
University of Waterloo,
New York University,NYU
Korea Advanced Institute of Science & Technology,KAIST
Yale University,
The Chinese University of Hong Kong,CUHK
The Australian National University,
University College London,UCL
Seoul National University,
University of Pennsylvania,
Technical University of Munich,
National Taiwan University,NTU
The University of New South Wales,UNSW Australia
The University of Sydney,
"University of California, San Diego",UCSD
Shanghai Jiao Tong University,
University of Michigan,
"University of Maryland, College Park",
Lomonosov Moscow State University,
Politecnico di Milano,
University of Southern California,
Aarhus University,
Boston University,
City University of Hong Kong,CityU
Delft University of Technology,
Duke University,
"Ecole normale supŽrieure, Paris",
Fudan University,
Indian Institute of Technology Bombay,IITB
Indian Institute of Technology Delhi,IITD
Johns Hopkins University,
KU Leuven,
King's College London,
Karlsruhe Institute of Technology,KIT
Korea University,
Royal Institute of Technology,KTH
Kyoto University,
Ludwig-Maximilians-UniversitŠt MŸnchen,
McGill University,
Monash University,
National Tsing Hua University,
Pennsylvania State University,
Pohang University of Science And Technology,POSTECH
Politecnico di Torino,
Purdue University,
RWTH Aachen University,RWTH
RMIT University,RMIT
Sapienza University of Rome,
Sungkyunkwan University,SKKU
Technion - Israel Institute of Technology,
Technische UniversitŠt Berlin,TU Berlin
Vienna University of Technology,
The Hong Kong Polytechnic University,PolyU
The University of Auckland,
The University of Manchester,
The University of Queensland,
Tokyo Institute of Technology,
Universidade de S‹o Paulo,
Universidade Estadual de Campinas,UniCamp
Alma Mater Studiorum - University of Bologna,
Universiti Malaya,UM
Universiti Sains Malaysia,USM
Universiti Teknologi Malaysia,
University of Amsterdam,
"University of California, Irvine",
University of Chicago,
University of Massachusetts Amherst,
University of Science and Technology of China,
University of Technology Sydney,
University of Wisconsin-Madison,
Yonsei University,